epoch,accuracy,loss,val_accuracy,val_loss
0,0.7916876673698425,0.06452608853578568,0.7828527092933655,0.08517654240131378
1,0.8128476142883301,0.0180263202637434,0.8170382976531982,0.028485361486673355
2,0.8134251832962036,0.01475554145872593,0.8171645998954773,0.018413817510008812
3,0.8136513233184814,0.013583645224571228,0.8159265518188477,0.017819564789533615
4,0.8138211369514465,0.012846658006310463,0.8169671297073364,0.013766318559646606
5,0.8139506578445435,0.012322082184255123,0.8171040415763855,0.012568439356982708
6,0.8140196800231934,0.011880042962729931,0.8171707987785339,0.011416731402277946
7,0.8140764832496643,0.011622668243944645,0.8165205717086792,0.011466631665825844
8,0.8141125440597534,0.01128851342946291,0.8173121809959412,0.012010736390948296
9,0.8141579031944275,0.011164022609591484,0.8174980282783508,0.010962458327412605
